report_period,report_year,report_month,source_file,project_code,project_name,agency,approval_date,original_doc,revised_doc,anticipated_doc,original_cost_cr,revised_cost_cr,anticipated_cost_cr,cost_overrun_cr,cost_overrun_pct,cumulative_expenditure_cr,physical_progress_pct,financial_progress_pct,financial_vs_physical_gap_pct,time_overrun_months,delay_risk_level,root_cause_category,delay_narrative,sector,state,cost_escalation_ratio,expenditure_burn_ratio,log_original_cost,fund_drain_anomaly_flag,planned_duration_months,root_cause,delay_duration_days,risk_level
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_BRAHAMAPUT,"BRAHAMAPUTRA BRIDGE AT BOGIBIL WITH LINK LINES,NEFR",,4/1996,4/2008,,3/2012,1000.0,,3087.44,2087.44,208.74,1424.19,100.0,142.42,42.42,47.0,High,General Execution Delay,,Other Infrastructure,Multi-State / Central,3.087,1.424,6.909,1,144.0,Fund Constraint & Financial Stress,1429,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_LUMDINGSIL,LUMDING-SILCHAR- MIGRENDISA- DITOKCHERRA,,4/1996,3/2009,,3/2012,648.0,,4049.39,3401.39,524.91,1702.85,100.0,262.79,162.79,36.0,High,General Execution Delay,,Other Infrastructure,Assam,6.249,2.628,6.475,1,155.0,Fund Constraint & Financial Stress,1094,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_DLWGM40003,DLW GM 4000/3000 HP DIESEL LOCOS,,4/1999,3/2003,,3/2012,155.54,,141.4,-14.14,-9.09,103.18,66.34,66.34,0.0,108.0,High,General Execution Delay,,Other Infrastructure,Multi-State / Central,0.909,0.663,5.053,0,47.0,Administrative & Inter-Agency Coordination,3283,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_UDHAMPURSR,UDHAMPUR- SRINAGAR- BARAMULLA,,3/1995,3/2001,,12/2012,2500.0,,11270.0,8770.0,350.8,5356.05,100.0,214.24,114.24,141.0,High,General Execution Delay,,Other Infrastructure,Jammu & Kashmir,4.508,2.142,7.824,1,72.0,Fund Constraint & Financial Stress,4286,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_PATNAGANGA,PATNA GANGA BRIDGE,,4/2001,10/2007,,12/2012,624.47,,1480.75,856.28,137.12,421.38,67.48,67.48,0.0,62.0,High,General Execution Delay,,Other Infrastructure,Bihar,2.371,0.675,6.439,0,78.0,Scope & Engineering Design Modifications,1885,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_JIRIBAMTOI,JIRIBAM TO IMPHAL,,4/2003,3/2011,,3/2014,727.56,,2492.53,1764.97,242.59,74.58,10.25,10.25,0.0,36.0,High,General Execution Delay,,Other Infrastructure,Multi-State / Central,3.426,0.103,6.591,0,95.0,Scope & Engineering Design Modifications,1094,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_VARANASIMO,"VARANASI-MOHANIA, KM.317-KM.329, NH-2 (U.P.)",U.P.,4/2000,3/2005,,6/2009,467.93,,467.93,0.0,0.0,443.31,94.74,94.74,0.0,51.0,High,General Execution Delay,,Road Transport & Highways,Uttar Pradesh,1.0,0.947,6.15,0,59.0,Land Acquisition & Right of Way,1550,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_PALANPURSW,"PALANPUR- SWAROOPGANJ, KM.264-KM.340, NH-14 (RAJASTHAN)",RAJASTHAN,12/2003,3/2009,,6/2009,498.0,,498.0,0.0,0.0,82.09,16.48,16.48,0.0,3.0,Low,General Execution Delay,,Road Transport & Highways,Rajasthan,1.0,0.165,6.213,0,63.0,On Schedule,91,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_FATEHPURKH,"FATEHPUR-KHAGA, KM.38-KM.115, NH-2 (U.P.)",U.P.,4/2000,7/2004,,6/2009,372.4,,372.4,0.0,0.0,380.72,100.0,102.23,2.23,59.0,High,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.0,1.022,5.923,0,51.0,Land Acquisition & Right of Way,1794,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_AGRASHIKOH,"AGRA-SHIKOHABAD, KM.200-KM.250.50, NH-2 (U.P.)",U.P.,4/2000,3/2005,,6/2009,367.49,,367.49,0.0,0.0,413.37,100.0,112.48,12.48,51.0,High,General Execution Delay,,Road Transport & Highways,Uttar Pradesh,1.0,1.125,5.909,0,59.0,Land Acquisition & Right of Way,1550,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_AGRABHARAT,"AGRA-BHARATPUR, KM.45, NH-11 (U.P.)",U.P.,3/2005,3/2009,,6/2009,195.0,,195.0,0.0,0.0,192.1,98.51,98.51,0.0,3.0,Low,General Execution Delay,,Road Transport & Highways,Uttar Pradesh,1.0,0.985,5.278,0,48.0,On Schedule,91,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_ALLAHABADB,"ALLAHABAD BYPASS CONTRACT-II, KM.158- KM.198, NH-2 (U.P.)",U.P.,4/2000,12/2006,,6/2009,440.93,,440.93,0.0,0.0,561.28,100.0,127.29,27.29,30.0,High,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.0,1.273,6.091,1,80.0,Land Acquisition & Right of Way,912,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_THANJAVURT,"THANJAVUR-TRICHY, KM.80-KM.135.75, NH-67 (T.N.)",T.N.,3/2005,6/2009,,6/2009,280.0,,280.0,0.0,0.0,377.33,100.0,134.76,34.76,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,1.348,5.638,1,51.0,On Schedule,0,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_GARHMUKTES,"GARHMUKTESHWAR- MURADABAD, KM.93- 149.25, NH-24 (U.P.)",U.P.,4/2000,9/2007,,6/2009,275.0,,275.0,0.0,0.0,132.16,48.06,48.06,0.0,21.0,Medium,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.0,0.481,5.62,0,89.0,Land Acquisition & Right of Way,638,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_MADURAIKAN,"MADURAI- KANYAKUMARI, KM.120-KM.160, NH-7 (TAMIL NADU)",TAMIL NADU,12/2003,3/2008,,6/2009,507.49,,507.49,0.0,0.0,269.33,53.07,53.07,0.0,15.0,Medium,General Execution Delay,,Road Transport & Highways,Tamil Nadu,1.0,0.531,6.231,0,51.0,Administrative & Inter-Agency Coordination,456,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_TIRUNELVEI,"TIRUNELVEI- PANAGUDI, KM.160- KM.203, NH-7 (TAMIL NADU)",TAMIL NADU,12/2003,3/2008,,6/2009,423.54,,423.54,0.0,0.0,220.2,51.99,51.99,0.0,15.0,Medium,General Execution Delay,,Road Transport & Highways,Tamil Nadu,1.0,0.52,6.051,0,51.0,Administrative & Inter-Agency Coordination,456,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_SALEMKARUR,"SALEM-KARUR, KM.258.645-KM.292.60, NH-7 (TAMIL NADU)",TAMIL NADU,12/2003,8/2008,,6/2009,205.6,,205.6,0.0,0.0,317.97,100.0,154.65,54.65,10.0,Medium,General Execution Delay,,Road Transport & Highways,Tamil Nadu,1.0,1.547,5.331,1,56.0,Administrative & Inter-Agency Coordination,304,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_TINDIVANAM,"TINDIVANAM- UIUNDURPET, KM.121- KM.192.25, NH-45 (T.N.)",T.N.,12/2003,3/2009,,6/2009,480.0,,480.0,0.0,0.0,1058.8,100.0,220.58,120.58,3.0,Low,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.0,2.206,6.176,1,63.0,On Schedule,91,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_GORHARBARW,"GORHAR-BARWA ADDA, KM.320- KM.398.75, NH-2 (JHARKHAND)",JHARKHAND,4/2000,3/2005,,6/2009,399.75,,399.75,0.0,0.0,371.99,93.06,93.06,0.0,51.0,High,General Execution Delay,,Road Transport & Highways,Jharkhand,1.0,0.931,5.993,0,59.0,Forest & Environmental Clearances,1550,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_CHENNAIBYP,"CHENNAI BYPASS, KM.32, NH-4, 5, & 45 (TAMIL NADU)",TAMIL NADU,12/2003,11/2007,,6/2009,480.0,,480.0,0.0,0.0,604.64,100.0,125.97,25.97,19.0,Medium,General Execution Delay,,Road Transport & Highways,Tamil Nadu,1.0,1.26,6.176,1,47.0,Land Acquisition & Right of Way,578,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_GOGUNDAUDA,"GOGUNDA-UDAIPUR, KM.104-KM.73, NH-76 (RAJASTHAN)",RAJASTHAN,12/2003,8/2007,,6/2009,266.0,,288.06,22.06,8.29,294.68,100.0,110.78,10.78,22.0,Medium,General Execution Delay,,Road Transport & Highways,Rajasthan,1.083,1.108,5.587,0,44.0,Land Acquisition & Right of Way,669,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_CHITTORGAR,"CHITTORGARH BYPASS(RJ-6) NH-76 KM.159- 213, NH-79,76",,3/2005,8/2005,,6/2009,133.03,,133.03,0.0,0.0,228.44,100.0,171.72,71.72,46.0,High,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.0,1.717,4.898,1,5.0,Land Acquisition & Right of Way,1398,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_RAJASTHANM,"RAJASTHAN/MP BORDER-KOTA, KM.509-KM.449.15, NH- 76",,12/2003,4/2008,,6/2009,378.22,,430.21,51.99,13.75,365.05,96.52,96.52,0.0,14.0,Medium,General Execution Delay,,Other Infrastructure,Rajasthan,1.137,0.965,5.938,0,52.0,Administrative & Inter-Agency Coordination,426,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_RJMPBORDER,"RJ/MP BORDER-KOTA, KM.449.15-KM.406 NH- 76 (RAJASTHAN)",RAJASTHAN,12/2003,4/2008,,6/2009,297.72,,359.43,61.71,20.73,289.88,97.37,97.37,0.0,14.0,Medium,General Execution Delay,,Other Infrastructure,Rajasthan,1.207,0.974,5.7,0,52.0,Administrative & Inter-Agency Coordination,426,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_GANJAMICCH,"GANJAM- ICCHAPURAM, KM.233- KM.284, NH-5 (ORISSA)",ORISSA,4/2000,2/2004,,6/2009,263.27,,263.27,0.0,0.0,175.07,66.5,66.5,0.0,64.0,High,General Execution Delay,,Road Transport & Highways,Odisha,1.0,0.665,5.577,0,46.0,Forest & Environmental Clearances,1946,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_PARADIPPOR,"PARADIP PORT, KM.77, NH-5A (ORISSA)",ORISSA,4/2000,2/2007,,6/2009,428.0,,428.0,0.0,0.0,459.38,100.0,107.33,7.33,28.0,High,General Execution Delay,,Road Transport & Highways,Odisha,1.0,1.073,6.061,0,82.0,Forest & Environmental Clearances,851,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_MAHUAJAIPU,"MAHUA-JAIPUR, KM.120-KM.228, NH-11 (RAJASTHAN)",RAJASTHAN,3/2005,3/2009,,6/2009,483.0,,483.0,0.0,0.0,578.26,100.0,119.72,19.72,3.0,Low,General Execution Delay,,Road Transport & Highways,Rajasthan,1.0,1.197,6.182,1,48.0,On Schedule,91,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_DEVDHARIWA,"DEVDHARI-WADNER, KM.94-KM.123, NH-7 (MAHARASHTRA)",MAHARASHTRA,12/2003,7/2005,,6/2009,145.0,,145.0,0.0,0.0,24.71,17.04,17.04,0.0,47.0,High,General Execution Delay,,Road Transport & Highways,Maharashtra,1.0,0.17,4.984,0,19.0,Land Acquisition & Right of Way,1429,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_DHULEPIMPA,"DHULE-PIMPALGAON, KM.380-KM.265, NH-3 (MAHARASHTRA)",MAHARASHTRA,3/2005,3/2009,,6/2009,556.0,,556.0,0.0,0.0,531.8,95.65,95.65,0.0,3.0,Low,General Execution Delay,,Road Transport & Highways,Maharashtra,1.0,0.956,6.323,0,48.0,On Schedule,91,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_SAGARRAJMA,"SAGAR-RAJMARG CHORAHA, KM.255- KM.297, NH-26 (M.P.)",M.P.,12/2003,10/2008,,6/2009,206.96,,206.96,0.0,0.0,51.79,25.02,25.02,0.0,8.0,Medium,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.0,0.25,5.337,0,58.0,Administrative & Inter-Agency Coordination,243,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_ELEVATEDHI,ELEVATED HIGHWAY FROM SILK BOARD JUNCTION TO,,3/2005,7/2008,,6/2009,450.0,,450.0,0.0,0.0,759.0,100.0,168.67,68.67,11.0,Medium,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.0,1.687,6.111,1,40.0,Administrative & Inter-Agency Coordination,334,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_GARAMOREBA,"GARAMORE- BAMANBORE, KM.254- KM.182.60, NH-8A (GUJARAT)",GUJARAT,12/2003,11/2007,,6/2009,360.7,,380.7,20.0,5.54,334.49,92.73,92.73,0.0,19.0,Medium,General Execution Delay,,Road Transport & Highways,Gujarat,1.055,0.927,5.891,0,47.0,Land Acquisition & Right of Way,578,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_PANIPATPAN,"PANIPAT-PANCHI GUJARAN, KM.86- KM.66, (HARYANA)",HARYANA,12/2003,10/2008,,6/2009,109.0,,109.0,0.0,0.0,98.9,90.73,90.73,0.0,8.0,Medium,General Execution Delay,,Other Infrastructure,Haryana,1.0,0.907,4.7,0,58.0,Administrative & Inter-Agency Coordination,243,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_BIJNIASSAM,"BIJNI-ASSAM/WB BORDER, KM.30.0- KM.0.0, NH-31C (ASSAM)",ASSAM,12/2003,6/2005,,6/2009,230.0,,230.0,0.0,0.0,86.02,37.4,37.4,0.0,48.0,High,General Execution Delay,,Road Transport & Highways,Assam,1.0,0.374,5.442,0,18.0,Forest & Environmental Clearances,1459,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_NALBARIBIJ,"NALBARI-BIJNI, KM.1013-KM.983, NH-31 (ASSAM)",ASSAM,12/2003,6/2008,,6/2009,200.0,,200.0,0.0,0.0,116.76,58.38,58.38,0.0,12.0,Medium,General Execution Delay,,Road Transport & Highways,Assam,1.0,0.584,5.303,0,54.0,Administrative & Inter-Agency Coordination,365,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_GUWAHATINA,"GUWAHATI-NALBARI, KM.1093-KM.1065, NH- 31 (ASSAM)",ASSAM,12/2003,4/2008,,6/2009,198.16,,198.16,0.0,0.0,69.49,35.07,35.07,0.0,14.0,Medium,General Execution Delay,,Other Infrastructure,Assam,1.0,0.351,5.294,0,52.0,Administrative & Inter-Agency Coordination,426,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_SILCHARUDA,"SILCHAR-UDARBAND, KM.309-KM.275, NH-54 (ASSAM)",ASSAM,12/2003,9/2007,,6/2009,157.47,,154.57,-2.9,-1.84,105.68,67.11,67.11,0.0,21.0,Medium,General Execution Delay,,Road Transport & Highways,Assam,0.982,0.671,5.066,0,45.0,Forest & Environmental Clearances,638,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_LANKADABOK,"LANKA-DABOKA, KM.22-KM.24, NH-54 (ASSAM)",ASSAM,12/2003,6/2008,,6/2009,225.0,,225.0,0.0,0.0,99.85,44.38,44.38,0.0,12.0,Medium,General Execution Delay,,Road Transport & Highways,Assam,1.0,0.444,5.421,0,54.0,Administrative & Inter-Agency Coordination,365,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_DAKOBANAGA,"DAKOBA-NAGAON, KM.36-KM.5.5, NH-36 (ASSAM)",ASSAM,12/2003,6/2008,,6/2009,225.0,,225.0,0.0,0.0,86.47,38.43,38.43,0.0,12.0,Medium,General Execution Delay,,Road Transport & Highways,Assam,1.0,0.384,5.421,0,54.0,Administrative & Inter-Agency Coordination,365,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_DHARMATULS,"DHARMATUL- SONAPUR, KM.230.50- KM.230.00, NH-31 (ASSAM)",ASSAM,12/2003,6/2008,,6/2009,200.0,,200.0,0.0,0.0,78.52,39.26,39.26,0.0,12.0,Medium,General Execution Delay,,Road Transport & Highways,Assam,1.0,0.393,5.303,0,54.0,Administrative & Inter-Agency Coordination,365,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_NAGAONBYPA,"NAGAON BYPASS, KM.5.5-KM.262.7, NH-36 (ASSAM)",ASSAM,12/2003,6/2008,,6/2009,230.0,,230.0,0.0,0.0,137.07,59.6,59.6,0.0,12.0,Medium,General Execution Delay,,Road Transport & Highways,Assam,1.0,0.596,5.442,0,54.0,Land Acquisition & Right of Way,365,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_HYDERABADB,"HYDERABAD- BANGALORE, KM.135.47-KM.211, NH-7",,12/2003,3/2009,,6/2009,611.44,,592.0,-19.44,-3.18,790.74,100.0,129.32,29.32,3.0,Low,General Execution Delay,,Road Transport & Highways,Karnataka,0.968,1.293,6.417,1,63.0,On Schedule,91,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_KARURMADUR,"KARUR-MADURAI, KM.305.6-KM.373.28, NH-7 (TAMIL NADU)",TAMIL NADU,12/2003,1/2009,,7/2009,327.2,,327.2,0.0,0.0,426.83,100.0,130.45,30.45,6.0,Low,General Execution Delay,,Road Transport & Highways,Tamil Nadu,1.0,1.304,5.794,1,61.0,On Schedule,182,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_SALEMKERAL,"SALEM-KERALA BORDER, KM.203.96- KM.53, NH-47 (TAMIL NADU)",TAMIL NADU,12/2003,12/2008,,7/2009,469.8,,469.8,0.0,0.0,652.86,100.0,138.97,38.97,7.0,Medium,General Execution Delay,,Road Transport & Highways,Tamil Nadu,1.0,1.39,6.154,1,60.0,Administrative & Inter-Agency Coordination,213,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_PADALURTRI,"PADALUR-TRICHY, KM.285-KM.325, NH-45 (T.N.I)",T.N.I,12/2003,5/2009,,7/2009,320.0,,320.0,0.0,0.0,500.84,100.0,156.51,56.51,2.0,Low,General Execution Delay,,Road Transport & Highways,Tamil Nadu,1.0,1.565,5.771,1,65.0,On Schedule,61,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_UIUNDURPET,"UIUNDURPET- PADALUR, KM.192.25- KM.285, NH-45 (T.N.)",T.N.,12/2003,6/2009,,7/2009,460.0,,460.0,0.0,0.0,768.62,100.0,167.09,67.09,1.0,Low,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.0,1.671,6.133,1,66.0,On Schedule,30,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_MADURAITIR,"MADURAI- TIRUNELVELI, KM.0- KM.42, NH-7 (TAMIL NADU)",TAMIL NADU,12/2003,3/2008,,7/2009,567.38,,567.38,0.0,0.0,366.37,64.57,64.57,0.0,16.0,Medium,General Execution Delay,,Road Transport & Highways,Tamil Nadu,1.0,0.646,6.343,0,51.0,Administrative & Inter-Agency Coordination,486,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_TOVARAMKUR,"TOVARAMKURCHI- MADURAI, KM.60.95- KM.124.84 (T.N.)",T.N.,12/2003,8/2008,,8/2009,263.0,,263.0,0.0,0.0,254.99,96.95,96.95,0.0,12.0,Medium,General Execution Delay,,Other Infrastructure,Tamil Nadu,1.0,0.97,5.576,0,56.0,Administrative & Inter-Agency Coordination,365,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_APKARNATAK,AP/ KARNATAKA BORDER NANDI HILL CROSSING KM.464.6- KM.527,,12/2003,3/2009,,8/2009,402.8,,402.8,0.0,0.0,301.08,74.75,74.75,0.0,5.0,Low,General Execution Delay,,Other Infrastructure,Karnataka,1.0,0.747,6.001,0,63.0,On Schedule,152,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_JHANSILALI,"JHANSI-LALITPUR, KM.49.7-KM.99, NH-26 (U.P.)",U.P.,12/2003,9/2009,,9/2009,276.09,,276.09,0.0,0.0,169.88,61.53,61.53,0.0,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.615,5.624,0,69.0,On Schedule,0,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_LAKHNADONM,"LAKHNADON- MP/MAHARASHTRA BORDER, KM.547.4- KM.596.75, NH-7",,12/2003,9/2009,,9/2009,263.17,,263.17,0.0,0.0,184.71,70.19,70.19,0.0,0.0,Low,On Schedule,,Road Transport & Highways,Maharashtra,1.0,0.702,5.577,0,69.0,On Schedule,0,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_INDOREKALA,"INDORE-KALAGHAT, KM.80, NH-3 (M.P.)",M.P.,3/2005,9/2009,,9/2009,472.0,,472.0,0.0,0.0,562.91,100.0,119.26,19.26,0.0,Low,On Schedule,,Road Transport & Highways,Madhya Pradesh,1.0,1.193,6.159,1,54.0,On Schedule,0,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_JHANSITOLA,"JHANSI TO LALITPUR, NH-25,26 (NS, PH-II)",,12/2003,9/2009,,9/2009,355.06,,355.06,0.0,0.0,216.65,61.02,61.02,0.0,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,0.61,5.875,0,69.0,On Schedule,0,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_JALANDARAM,"JALANDAR-AMRITSAR, KM.407-KM.456, NH-1, (PANJAB)",PANJAB,3/2005,2/2009,,9/2009,263.0,,263.0,0.0,0.0,285.04,100.0,108.38,8.38,7.0,Medium,General Execution Delay,,Road Transport & Highways,Punjab,1.0,1.084,5.576,0,47.0,Administrative & Inter-Agency Coordination,213,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_CHITRADURG,"CHITRADURGA BY PASS, KM.207-KM.189 (NH-4)",,4/2000,8/2004,,9/2009,104.0,,104.0,0.0,0.0,133.41,100.0,128.28,28.28,61.0,High,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.0,1.283,4.654,1,52.0,Land Acquisition & Right of Way,1854,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_JAWAHABLAL,"JAWAHABLAL NEHRU PORT PHASE-II, KM.14.35, NH-54 (MH)",MH,4/2000,5/2007,,10/2009,143.0,,143.0,0.0,0.0,120.3,84.13,84.13,0.0,29.0,High,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.0,0.841,4.97,0,85.0,Land Acquisition & Right of Way,882,High
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_TRICHYBYPA,"TRICHY BYPASS- TUVARAMKURCHI, KM.61, NH-45B (TAMIL NADU)",TAMIL NADU,12/2003,8/2008,,10/2009,261.0,,261.0,0.0,0.0,229.64,87.98,87.98,0.0,14.0,Medium,General Execution Delay,,Road Transport & Highways,Tamil Nadu,1.0,0.88,5.568,0,56.0,Land Acquisition & Right of Way,426,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_KADALARMUR,"KADAL-ARMUR, KM.278-KM.208, NH-7, (A.P.)",A.P.,12/2003,11/2009,,11/2009,271.73,,271.73,0.0,0.0,279.67,100.0,102.92,2.92,0.0,Low,On Schedule,,Road Transport & Highways,Multi-State / Central,1.0,1.029,5.608,0,71.0,On Schedule,0,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_MAHARASHTR,"MAHARASHTRA/A.P. BORDER-ISLAM NAGAR KM.175-KM.230, NH-7",,12/2003,11/2009,,11/2009,360.42,,360.42,0.0,0.0,208.17,57.76,57.76,0.0,0.0,Low,On Schedule,,Road Transport & Highways,Maharashtra,1.0,0.578,5.89,0,71.0,On Schedule,0,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_BANGALOREN,BANGALORE- NEELAMANGALA (KARNATKA),KARNATKA,3/2005,7/2010,,11/2009,445.0,,445.0,0.0,0.0,400.84,90.08,90.08,0.0,0.0,Low,On Schedule,,Other Infrastructure,Karnataka,1.0,0.901,6.1,0,64.0,On Schedule,0,Low
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_MAILBANGLU,"MAILBANG-LUNDING, KM.60.50-KM.83.40, NH- 54 (ASSAM)",ASSAM,12/2003,11/2008,,11/2009,167.64,,167.64,0.0,0.0,39.49,23.56,23.56,0.0,12.0,Medium,General Execution Delay,,Other Infrastructure,Assam,1.0,0.236,5.128,0,59.0,Administrative & Inter-Agency Coordination,365,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_GAGODHARGA,"GAGODHAR- GARAMORE, KM.245- KM.281.3 & KM.308- KM.254, NH-8A",,12/2003,11/2007,,11/2009,412.78,,479.54,66.76,16.17,390.8,94.68,94.68,0.0,24.0,Medium,General Execution Delay,,Road Transport & Highways,Multi-State / Central,1.162,0.947,6.025,0,47.0,Land Acquisition & Right of Way,730,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_NAGPURKOND,"NAGPUR-KONDHALI, KM.9.2-KM.50, NH-6 (MAHARASHTRA)",MAHARASHTRA,3/2005,12/2008,,12/2009,168.0,,168.0,0.0,0.0,227.74,100.0,135.56,35.56,12.0,Medium,General Execution Delay,,Road Transport & Highways,Maharashtra,1.0,1.356,5.13,1,45.0,Administrative & Inter-Agency Coordination,365,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_HARANGAJOM,"HARANGAJO- MAILBANG, KM.126.45- KM.140.70, NH-54 (ASSAM)",ASSAM,12/2003,2/2009,,12/2009,280.0,,280.0,0.0,0.0,89.46,31.95,31.95,0.0,10.0,Medium,General Execution Delay,,Road Transport & Highways,Assam,1.0,0.319,5.638,0,62.0,Administrative & Inter-Agency Coordination,304,Medium
MAY-2009,2009,MAY,FLR_MAY_2009.pdf,MOSPI_2009_DHARAMTULS,"DHARAMTUL- SONAPUR, KM.205- KM.183, NH-31 (ASSAM)",ASSAM,12/2003,5/2008,,12/2009,160.0,,160.0,0.0,0.0,48.47,30.29,30.29,0.0,19.0,Medium,General Execution Delay,,Road Transport & Highways,Assam,1.0,0.303,5.081,0,53.0,Forest & Environmental Clearances,578,Medium
